"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","25-Apr-2019","        818.75","        820.00","        827.00","        813.45","        816.00","        816.50","        820.35","    5447101","          4468536960.05","      76442","    4585553","         84.18"
"TECHM","EQ","26-Apr-2019","        816.50","        816.50","        826.85","        816.50","        822.95","        823.25","        822.52","    1996703","          1642323295.25","      88319","    1309691","         65.59"
"TECHM","EQ","30-Apr-2019","        823.25","        825.95","        838.00","        823.10","        835.90","        836.10","        831.68","    2783771","          2315193213.10","      97271","    1595610","         57.32"
"TECHM","EQ","02-May-2019","        836.10","        834.90","        846.50","        829.10","        836.00","        837.00","        836.89","    3241791","          2713026986.55","     114374","    1755749","         54.16"
"TECHM","EQ","03-May-2019","        837.00","        830.00","        834.45","        813.00","        815.15","        817.40","        819.35","    2329144","          1908387474.00","      57384","    1202137","         51.61"
"TECHM","EQ","06-May-2019","        817.40","        810.00","        825.50","        810.00","        819.80","        820.15","        821.35","    1247845","          1024913989.60","      29468","     515908","         41.34"
"TECHM","EQ","07-May-2019","        820.15","        822.00","        824.30","        809.70","        812.00","        814.65","        815.84","    1810222","          1476849389.75","      42567","    1192183","         65.86"
"TECHM","EQ","08-May-2019","        814.65","        813.00","        814.10","        799.60","        803.00","        802.30","        805.68","    1270071","          1023265358.20","      39273","     636237","         50.09"
"TECHM","EQ","09-May-2019","        802.30","        801.00","        814.75","        799.20","        810.40","        809.65","        808.56","    2024710","          1637098639.45","      82893","    1208538","         59.69"
"TECHM","EQ","10-May-2019","        809.65","        810.40","        813.40","        800.40","        813.40","        808.40","        808.87","    1429055","          1155923386.60","      81361","     761816","         53.31"
"TECHM","EQ","13-May-2019","        808.40","        811.60","        825.70","        809.20","        815.00","        817.30","        819.62","    3719275","          3048406243.85","     158329","    2058216","         55.34"
"TECHM","EQ","14-May-2019","        817.30","        818.80","        818.80","        786.60","        792.10","        790.05","        795.59","    2701861","          2149579448.15","     119561","    1112171","         41.16"
"TECHM","EQ","15-May-2019","        790.05","        791.00","        798.40","        785.55","        787.90","        790.30","        791.87","    1662095","          1316165687.75","      48449","     700518","         42.15"
"TECHM","EQ","16-May-2019","        790.30","        788.65","        794.75","        781.35","        790.05","        789.35","        788.13","    1233818","           972410529.90","      75906","     604800","         49.02"
"TECHM","EQ","17-May-2019","        789.35","        793.00","        793.00","        776.55","        784.50","        784.85","        783.19","    1608854","          1260037273.10","      56094","     824875","         51.27"
"TECHM","EQ","20-May-2019","        784.85","        790.00","        790.00","        763.00","        778.90","        779.35","        771.71","    3754370","          2897298272.20","      77230","    1802731","         48.02"
"TECHM","EQ","21-May-2019","        779.35","        780.00","        784.80","        768.10","        770.35","        773.05","        774.80","    1669926","          1293860628.60","      56099","     597609","         35.79"
"TECHM","EQ","22-May-2019","        773.05","        758.00","        767.35","        744.20","        750.00","        749.95","        752.24","    5888740","          4429736675.60","     122182","    1659305","         28.18"
"TECHM","EQ","23-May-2019","        749.95","        760.00","        761.35","        740.55","        745.00","        743.30","        748.80","    3764857","          2819137953.80","     112611","    1929409","         51.25"
"TECHM","EQ","24-May-2019","        743.30","        749.90","        749.90","        732.05","        737.00","        735.85","        736.64","    3591853","          2645887469.75","     130989","    2201623","         61.29"
"TECHM","EQ","27-May-2019","        735.85","        737.00","        738.00","        719.50","        727.10","        726.05","        726.03","    3672605","          2666429330.80","     167633","    2264442","         61.66"
"TECHM","EQ","28-May-2019","        726.05","        727.00","        746.75","        727.00","        737.45","        737.15","        736.42","    5583587","          4111891276.80","     122694","    3790055","         67.88"
"TECHM","EQ","29-May-2019","        737.15","        736.95","        748.25","        733.65","        740.00","        738.85","        741.04","    2058402","          1525364028.05","      84278","     985278","         47.87"
"TECHM","EQ","30-May-2019","        738.85","        741.50","        746.00","        732.95","        733.75","        735.00","        737.02","    3367426","          2481854836.40","     105246","    2395502","         71.14"
"TECHM","EQ","31-May-2019","        735.00","        740.00","        763.80","        738.15","        763.00","        760.35","        755.18","    5503111","          4155822644.10","     139476","    2955037","         53.70"
"TECHM","EQ","03-Jun-2019","        760.35","        763.90","        763.90","        749.00","        758.70","        757.60","        756.15","    2826290","          2137108592.65","      81813","    1469614","         52.00"
"TECHM","EQ","04-Jun-2019","        757.60","        756.30","        762.70","        746.80","        750.00","        748.30","        753.51","    2332547","          1757586656.55","     101080","    1359024","         58.26"
"TECHM","EQ","06-Jun-2019","        748.30","        748.30","        749.30","        733.90","        737.95","        738.00","        739.29","    3225967","          2384911627.30","     115661","    2094935","         64.94"
"TECHM","EQ","07-Jun-2019","        738.00","        738.10","        752.70","        729.40","        749.00","        750.75","        741.98","    1569343","          1164428572.10","      47068","     596988","         38.04"
"TECHM","EQ","10-Jun-2019","        750.75","        755.45","        769.35","        754.05","        768.85","        768.20","        765.95","    2539412","          1945058063.60","      60342","    1379249","         54.31"
"TECHM","EQ","11-Jun-2019","        768.20","        770.00","        770.75","        759.25","        762.00","        762.10","        763.70","    2069998","          1580855889.15","      56376","    1423188","         68.75"
"TECHM","EQ","12-Jun-2019","        762.10","        762.00","        764.30","        743.30","        748.50","        747.95","        750.30","    3056823","          2293524223.10","      84369","    1995778","         65.29"
"TECHM","EQ","13-Jun-2019","        747.95","        744.00","        752.70","        738.50","        743.60","        744.10","        744.27","    2385606","          1775534263.60","      92300","    1346058","         56.42"
"TECHM","EQ","14-Jun-2019","        744.10","        744.00","        746.65","        735.30","        738.00","        740.25","        739.90","    1348083","           997446012.15","      59525","     756426","         56.11"
"TECHM","EQ","17-Jun-2019","        740.25","        740.00","        743.15","        734.05","        734.25","        736.55","        737.95","    1333739","           984238189.50","      56351","     834133","         61.95"
"TECHM","EQ","18-Jun-2019","        736.55","        737.90","        744.40","        736.05","        741.05","        741.55","        741.17","    1645116","          1219302844.60","      60573","     997255","         59.64"
"TECHM","EQ","19-Jun-2019","        741.55","        742.00","        744.30","        729.55","        735.15","        735.60","        735.55","    1945921","          1431329281.40","      49523","    1188494","         61.08"
"TECHM","EQ","20-Jun-2019","        735.60","        722.00","        731.00","        717.85","        726.75","        725.55","        723.80","    4139025","          2995823131.25","     137076","    2793127","         67.48"
"TECHM","EQ","21-Jun-2019","        725.55","        729.00","        744.00","        726.50","        736.00","        740.45","        738.25","    7280809","          5375050435.95","     105379","    4957066","         68.08"
"TECHM","EQ","24-Jun-2019","        740.45","        738.00","        738.00","        727.00","        727.00","        728.25","        730.07","    1242655","           907228688.70","      50994","     590256","         47.50"
"TECHM","EQ","25-Jun-2019","        728.25","        727.00","        728.15","        720.00","        724.50","        724.35","        724.11","    1451025","          1050708467.05","      61333","     811716","         55.94"
"TECHM","EQ","26-Jun-2019","        724.35","        721.30","        730.85","        716.40","        718.15","        718.10","        722.47","    2781711","          2009698779.80","      87009","    1842756","         66.25"
"TECHM","EQ","27-Jun-2019","        718.10","        715.50","        719.00","        691.65","        703.05","        701.95","        702.15","    8567309","          6015536260.65","     159967","    4455458","         52.01"
"TECHM","EQ","28-Jun-2019","        701.95","        706.90","        715.00","        704.10","        707.45","        706.60","        710.07","    3421172","          2429275020.65","      76706","    1523550","         44.53"
"TECHM","EQ","01-Jul-2019","        706.60","        709.70","        711.20","        702.35","        704.50","        704.65","        706.12","    2073961","          1464475590.60","      67466","    1295305","         62.46"
"TECHM","EQ","02-Jul-2019","        704.65","        702.05","        713.00","        700.25","        712.00","        711.65","        706.03","    2432132","          1717154070.85","      47227","    1289054","         53.00"
"TECHM","EQ","03-Jul-2019","        711.65","        713.00","        713.45","        698.50","        701.40","        701.10","        704.65","    2040614","          1437923176.65","      75495","    1202398","         58.92"
"TECHM","EQ","04-Jul-2019","        701.10","        701.40","        706.75","        697.00","        700.45","        700.60","        700.53","    2838357","          1988363496.25","      48173","    1803110","         63.53"
"TECHM","EQ","05-Jul-2019","        700.60","        700.50","        703.00","        678.30","        679.15","        681.10","        691.56","    2813644","          1945812501.00","      84389","    1697382","         60.33"
"TECHM","EQ","08-Jul-2019","        681.10","        680.00","        685.75","        665.50","        681.00","        680.35","        679.83","    2293102","          1558922676.20","      75009","    1236795","         53.94"
"TECHM","EQ","09-Jul-2019","        680.35","        681.00","        684.00","        668.60","        673.00","        675.90","        674.99","    2180104","          1471550528.40","      65454","    1159298","         53.18"
"TECHM","EQ","10-Jul-2019","        675.90","        671.05","        684.80","        668.00","        675.50","        674.85","        675.79","    2468773","          1668376584.65","      68472","    1167342","         47.28"
"TECHM","EQ","11-Jul-2019","        674.85","        676.70","        676.70","        658.40","        665.35","        665.70","        664.40","    3449721","          2291986119.20","     112558","    2014086","         58.38"
"TECHM","EQ","12-Jul-2019","        665.70","        665.00","        672.90","        663.00","        667.40","        665.80","        667.56","    1792810","          1196816107.50","      62824","     831372","         46.37"
"TECHM","EQ","15-Jul-2019","        665.80","        675.00","        680.70","        665.85","        679.55","        677.90","        672.65","    1883164","          1266705631.40","      64529","     724599","         38.48"
"TECHM","EQ","16-Jul-2019","        677.90","        680.00","        681.60","        670.50","        676.50","        675.95","        675.83","    2015642","          1362240918.75","      59251","     983688","         48.80"
"TECHM","EQ","17-Jul-2019","        675.95","        675.95","        695.50","        673.05","        690.30","        690.80","        688.64","    3271680","          2253018005.45","      59693","    1490547","         45.56"
"TECHM","EQ","18-Jul-2019","        690.80","        687.35","        694.25","        680.10","        687.00","        687.20","        686.96","    2984256","          2050077812.65","     114958","    1803369","         60.43"
"TECHM","EQ","19-Jul-2019","        687.20","        687.20","        691.50","        664.40","        675.00","        675.05","        674.79","    2005513","          1353302283.90","      65173","     892212","         44.49"
"TECHM","EQ","22-Jul-2019","        675.05","        671.00","        679.00","        670.00","        671.90","        671.95","        673.89","    1286218","           866763843.10","      50991","     671392","         52.20"
"TECHM","EQ","23-Jul-2019","        671.95","        673.25","        675.55","        665.75","        670.00","        671.20","        670.56","    1462269","           980538456.75","      51633","     735824","         50.32"
"TECHM","EQ","24-Jul-2019","        671.20","        670.35","        679.80","        651.45","        662.75","        660.45","        665.00","    3060459","          2035218113.15","      84614","    1854519","         60.60"
"TECHM","EQ","25-Jul-2019","        660.45","        647.80","        657.65","        641.50","        654.40","        652.50","        651.57","    2751865","          1793046235.65","      77942","    1517040","         55.13"
"TECHM","EQ","26-Jul-2019","        652.50","        649.70","        651.00","        641.05","        644.75","        643.50","        644.77","    1637706","          1055942726.25","      71662","     949989","         58.01"
"TECHM","EQ","29-Jul-2019","        643.50","        641.00","        654.65","        641.00","        644.00","        646.30","        647.45","    2524484","          1634480344.15","      87200","    1157415","         45.85"
"TECHM","EQ","30-Jul-2019","        646.30","        645.00","        650.30","        633.15","        640.90","        640.25","        641.01","    2882913","          1847979998.65","      69347","    1709570","         59.30"
"TECHM","EQ","31-Jul-2019","        640.25","        629.00","        639.80","        607.15","        635.20","        636.25","        622.80","    9651731","          6011112620.80","     199316","    4558232","         47.23"
"TECHM","EQ","01-Aug-2019","        636.25","        632.05","        633.45","        619.00","        625.30","        625.65","        624.64","    3982949","          2487899211.15","     136151","    2489585","         62.51"
"TECHM","EQ","02-Aug-2019","        625.65","        625.00","        639.10","        618.40","        636.80","        636.15","        628.76","    2172845","          1366194089.50","     106712","    1169645","         53.83"
"TECHM","EQ","05-Aug-2019","        636.15","        631.15","        651.05","        625.30","        649.85","        648.05","        640.94","    3140140","          2012626836.40","     105725","    1720951","         54.80"
"TECHM","EQ","06-Aug-2019","        648.05","        650.10","        679.85","        650.10","        672.00","        670.60","        666.71","    7226321","          4817842777.50","     227458","    3916518","         54.20"
"TECHM","EQ","07-Aug-2019","        670.60","        671.80","        678.50","        670.30","        673.85","        674.45","        675.31","    3239880","          2187918307.65","     141330","    2261509","         69.80"
"TECHM","EQ","08-Aug-2019","        674.45","        674.00","        683.90","        665.00","        680.00","        680.20","        674.29","    2708834","          1826531900.25","     143165","    1389475","         51.29"
"TECHM","EQ","09-Aug-2019","        680.20","        679.00","        680.75","        659.75","        663.00","        663.35","        674.41","    3743407","          2524591106.05","     124738","    2218854","         59.27"
"TECHM","EQ","13-Aug-2019","        663.35","        661.10","        662.50","        636.00","        640.30","        639.15","        643.96","    2716622","          1749395304.70","      81290","    1583253","         58.28"
"TECHM","EQ","14-Aug-2019","        639.15","        639.05","        662.50","        638.90","        658.75","        659.10","        654.84","    2627043","          1720291636.45","      92143","    1508436","         57.42"
"TECHM","EQ","16-Aug-2019","        659.10","        656.90","        661.00","        646.15","        659.05","        659.00","        652.65","    3067796","          2002182061.55","     105567","    2103903","         68.58"
"TECHM","EQ","19-Aug-2019","        659.00","        662.00","        674.40","        661.50","        673.90","        670.35","        668.17","    2871173","          1918420660.65","      80122","    1785683","         62.19"
"TECHM","EQ","20-Aug-2019","        670.35","        674.00","        680.00","        664.65","        669.15","        668.90","        670.98","    3913608","          2625939688.90","      63954","    2219664","         56.72"
"TECHM","EQ","21-Aug-2019","        668.90","        670.00","        675.00","        669.30","        673.70","        672.80","        672.39","    2106655","          1416500798.35","      92058","    1218094","         57.82"
"TECHM","EQ","22-Aug-2019","        672.80","        672.65","        684.00","        668.10","        683.00","        682.75","        678.72","    3353812","          2276307779.45","     121484","    2047581","         61.05"
"TECHM","EQ","23-Aug-2019","        682.75","        684.25","        694.40","        679.40","        687.00","        683.85","        688.86","    7015461","          4832688722.50","     141603","    4929308","         70.26"
"TECHM","EQ","26-Aug-2019","        683.85","        689.80","        693.00","        670.20","        690.80","        691.15","        684.13","    1767289","          1209048282.95","      40938","     835056","         47.25"
"TECHM","EQ","27-Aug-2019","        691.15","        689.85","        689.85","        673.20","        675.10","        676.35","        680.63","    3160545","          2151154068.05","     106806","    2154733","         68.18"
"TECHM","EQ","28-Aug-2019","        676.35","        676.00","        693.45","        676.00","        687.25","        690.20","        686.83","    2749273","          1888276098.10","      73548","    1733113","         63.04"
"TECHM","EQ","29-Aug-2019","        690.20","        684.15","        694.00","        681.00","        692.00","        691.15","        689.93","    2789979","          1924881195.55","      61174","    1603322","         57.47"
"TECHM","EQ","30-Aug-2019","        691.15","        693.00","        700.70","        675.85","        696.00","        693.65","        685.56","    3067856","          2103187185.40","      77204","    1731106","         56.43"
"TECHM","EQ","03-Sep-2019","        693.65","        698.00","        716.90","        698.00","        703.00","        704.50","        709.64","    5044667","          3579901689.50","     105071","    2380036","         47.18"
"TECHM","EQ","04-Sep-2019","        704.50","        705.00","        709.75","        692.20","        703.00","        703.25","        700.50","    2027768","          1420456188.45","     111385","     835657","         41.21"
"TECHM","EQ","05-Sep-2019","        703.25","        710.00","        710.00","        691.05","        695.00","        695.45","        697.54","    2019839","          1408924120.65","     118727","    1060199","         52.49"
"TECHM","EQ","06-Sep-2019","        695.45","        716.35","        734.45","        716.35","        722.25","        721.75","        726.00","   10663234","          7741539988.70","     232742","    2694066","         25.26"
"TECHM","EQ","09-Sep-2019","        721.75","        723.00","        723.00","        710.00","        714.00","        712.90","        713.61","    1754023","          1251679803.60","      55813","     602705","         34.36"
"TECHM","EQ","11-Sep-2019","        712.90","        718.00","        723.25","        701.25","        703.10","        703.70","        705.03","    2702792","          1905558859.40","      90136","    1379007","         51.02"
"TECHM","EQ","12-Sep-2019","        703.70","        701.10","        709.20","        694.00","        705.55","        705.55","        701.29","    3282740","          2302144196.50","      98170","    1734439","         52.84"
"TECHM","EQ","13-Sep-2019","        705.55","        705.25","        711.30","        701.00","        708.60","        709.50","        707.60","    1073430","           759557028.75","      38470","     297173","         27.68"
"TECHM","EQ","16-Sep-2019","        709.50","        710.10","        723.25","        710.10","        719.05","        719.45","        715.65","    2500556","          1789530048.30","      63251","    1337297","         53.48"
"TECHM","EQ","17-Sep-2019","        719.45","        719.90","        719.90","        699.15","        707.50","        705.95","        704.23","    2948429","          2076382897.00","      82466","    1678120","         56.92"
"TECHM","EQ","18-Sep-2019","        705.95","        710.00","        718.10","        701.90","        717.40","        716.75","        711.91","    1666369","          1186301820.90","      63002","     867385","         52.05"
"TECHM","EQ","19-Sep-2019","        716.75","        715.70","        715.70","        700.00","        701.20","        703.35","        704.54","    1570183","          1106250243.85","      53272","     704082","         44.84"
"TECHM","EQ","20-Sep-2019","        703.35","        701.30","        716.20","        696.05","        700.00","        700.85","        702.57","    3394351","          2384756092.50","      90442","    1723165","         50.77"
"TECHM","EQ","23-Sep-2019","        700.85","        703.00","        704.95","        675.10","        687.80","        682.80","        686.30","    2256769","          1548810032.55","      63115","     876500","         38.84"
"TECHM","EQ","24-Sep-2019","        682.80","        686.05","        705.90","        683.70","        704.05","        703.85","        698.83","    3128057","          2185982288.85","      97152","    1392553","         44.52"
